net,length_um
_1109_,316.84
net3,315.985
_1108_,296.315
net63,285.47
_0822_,280.52
net9,278.68
net27,272.4
net37,270.05
net4,262.685
_0820_,238.195
net43,231.56
net12,231.23
_1010_,224.53
_0821_,212.17
net23,210.42
net15,204.63
net22,204.47
_1226_,203.52
net8,202.92
net35,201.4
net7,196.19
_1161_,195.865
_0746_,189.77
_1172_,189.265
_0918_,188.45
_0323_,187.2
_1042_,185.82
net47,185.6
net60,184.88
_0694_,183.245
net19,178.2
_0640_,175.58
net31,172.27
net58,169.84
_0704_,168.26
_0758_,167.17
net26,165.8
_0712_,165.565
_0638_,165.24
_0623_,163.78
net36,163.26
_1021_,162.295
_1031_,160.94
net6,159.16
_1128_,158.12
_0692_,158.01
_1334_,157.77
_0888_,157.18
net38,156.92
_0501_,155.965
net49,155.32
net13,154.58
_0491_,154.12
_0407_,153.28
_0041_,153.085
net29,151.46
_0779_,148.24
net34,147.92
_0747_,147.825
_1074_,146.48
_1117_,145.125
_0772_,145.04
net48,144.06
_1222_,143.62
net46,142.9
_0128_,142.44
_0272_,141
_0624_,139.715
_1096_,137.97
_0514_,134.96
_0651_,132.72
_0327_,132.5
_0684_,131.94
net5,131.88
_0648_,130.49
net44,129.31
net1,127.36
_0650_,127.05
net2,127.05
_0705_,126.29
net20,125.66
_1301_,125.545
net45,124.94
_0780_,124.475
_0040_,124.395
_0703_,123.325
_0844_,122.4
net21,121.24
_0851_,118.525
net16,117.86
_0109_,117.26
_0759_,116.54
_1312_,116.52
_0774_,115.285
_0685_,114.87
_0922_,113.1
_0649_,113.08
_0763_,112.92
_0629_,112.66
_0992_,111.73
_0637_,111.64
_0587_,108.49
net57,107.74
net11,107.26
_0622_,106.355
_0760_,105.96
_1107_,104.42
_0887_,102.9
net54,102.22
net24,100.98
_0001_,95.02
_0504_,94.38
_1019_,93.56
net10,93.34
_0642_,92.91
net30,92.74
_0123_,92.39
_1068_,91.46
net25,91.44
_1269_,91.06
_0000_,91.02
_0683_,90.92
net32,90.86
_0143_,89.14
_1182_,89.04
_0047_,88.14
_1085_,85.95
_1293_,85.82
_0643_,85.5
net41,85.4
net14,83.92
net18,82.64
_0762_,78.6
_0505_,77.6
_0999_,76.575
_1154_,76.195
_0557_,72.855
_0117_,72.41
_1290_,72.265
_0890_,69.45
_1022_,67.565
_0281_,67.17
_0194_,65.74
_0301_,64.78
net64,64.26
_0835_,63.5
_0841_,62.12
_0192_,61.06
_0178_,59.485
_0905_,59.08
_0891_,58.56
_0945_,57.4
net28,56.88
_0499_,56.12
_0275_,55.44
net39,54.88
net17,54.7
_1195_,54.46
_0503_,54.27
_0124_,54.1
_0131_,53.88
net71,53.04
_0829_,52.84
_0292_,52.58
_1073_,51.05
_1159_,50.96
_0656_,50.92
_0530_,50.64
_1311_,50.38
_0060_,49.9
_0619_,49.58
_0254_,49.13
_0819_,47.76
_1178_,46.8
_0828_,44.72
_0687_,43.84
_1323_,43.72
_0019_,43.26
_0532_,42.97
_0989_,42.8
_0525_,42.26
_0845_,42.2
_0571_,42.12
_0179_,41.71
_0585_,41.68
_0955_,41.46
_0823_,41.155
_1035_,41.08
_0181_,40.66
_1151_,40.38
_0949_,39.94
_1007_,39.69
net53,39.42
_1086_,39.2
_0033_,38.49
_0914_,38.36
_1270_,38.28
_0320_,37.9
_0150_,37.82
_0270_,37.785
_0132_,37.66
_1155_,37.66
_0498_,37.64
_0126_,37.04
_0689_,36.8
_0868_,36.76
_1053_,36.6
_0400_,36.5
_0646_,36.14
_0506_,36.08
_0920_,36
_0556_,35.98
_1245_,35.8
_1179_,35.78
_1307_,35.48
_0016_,35.18
_0846_,34.67
net56,34.62
_1119_,34.6
_0529_,34.52
net67,34.275
_0318_,33.72
_1315_,33.665
_0066_,33.56
_0020_,33.54
_0872_,33.36
_0330_,33.08
_1089_,33.015
_0750_,32.995
_0361_,32.94
_0104_,32.9
_1217_,32.8
_0940_,32.72
_0101_,32.61
_0078_,32.545
_0710_,32.44
_0661_,32.04
_0222_,31.88
_0065_,31.71
_0185_,31.7
_1067_,31.62
_1014_,31.58
_0973_,31.34
_1276_,31.2
_1243_,30.88
_0551_,30.68
_0916_,30.26
_0357_,29.86
_1223_,29.68
_0742_,29.66
_0293_,29.62
_1028_,29.58
_0136_,29.48
_0538_,29.32
_0770_,29.18
_0727_,29.04
_0664_,29
_1090_,28.7
_0255_,28.64
_0024_,28.62
_1252_,28.58
_0512_,28.5
_0416_,28.48
_0030_,28.3
_0061_,28.22
_0937_,28.09
_0553_,27.92
_0791_,27.89
_0386_,27.82
_0665_,27.78
_0984_,27.62
_1018_,27.59
_0048_,27.54
_0862_,27.42
_0086_,27.38
_0943_,27.28
_1355_,27.18
_1268_,26.94
_0524_,26.84
_0771_,26.76
_1346_,26.74
_0276_,26.56
_0831_,26.56
_0076_,26.44
_1239_,26.24
_1250_,26.16
_0043_,26.06
_0319_,25.68
_0777_,25.6
_1131_,25.6
_0801_,25.58
_0775_,25.48
_0389_,25.4
_0558_,25.34
_1345_,25.34
_0199_,25.32
_0335_,25.18
_0566_,25.16
_0606_,25.14
_0899_,25.14
_1284_,25.115
_0677_,25.1
_0933_,25.05
_0035_,25.04
_0849_,24.78
_0274_,24.76
_0474_,24.74
_0162_,24.62
_0902_,24.62
_0886_,24.6
_0897_,24.46
_1170_,24.44
_1362_,24.32
_0731_,24.18
_0568_,24.06
_0614_,23.92
_0950_,23.74
_0967_,23.7
_0702_,23.64
_0147_,23.6
_1052_,23.42
_1363_,23.42
_0628_,23.4
net42,23.4
_1059_,23.3
_0723_,23.24
_1003_,23.18
_0978_,22.98
_0410_,22.875
_1139_,22.86
_0367_,22.78
_0133_,22.72
_0462_,22.72
_0695_,22.6
_0962_,22.6
_1203_,22.54
_0963_,22.48
_0751_,22.46
_0209_,22.44
_0233_,22.3
_0836_,22.16
_0900_,22.11
_0452_,22.06
_1279_,22.06
_1127_,21.86
_1118_,21.7
_1289_,21.66
_0874_,21.655
_0885_,21.62
_0077_,21.58
_1221_,21.58
_0102_,21.54
_0225_,21.54
_0804_,21.54
_0248_,21.5
_1012_,21.34
_1177_,21.34
_0083_,21.24
_0332_,21.18
_0865_,21.18
_0017_,21.14
_0217_,21.1
_0364_,21.1
_0969_,21.1
_0355_,21.02
_0543_,21
_0773_,21
_0180_,20.98
_0797_,20.98
_1211_,20.86
_1330_,20.84
_0006_,20.68
_0135_,20.66
_1006_,20.65
_0903_,20.64
_0734_,20.62
_0299_,20.56
_0313_,20.44
_1332_,20.305
_0414_,20.3
_0966_,20.3
_1328_,20.3
_1194_,20.24
_0261_,20.18
_0478_,20.18
_0580_,20.16
_0555_,20.14
_0146_,20.12
_1317_,20.12
_1353_,20.06
_0201_,20
_0269_,20
_0873_,19.96
_1024_,19.96
_1044_,19.945
_0488_,19.94
_0678_,19.94
_0210_,19.9
_0995_,19.88
product[24],19.87
_1160_,19.86
_0053_,19.79
_0765_,19.78
_1005_,19.67
_0354_,19.595
_0089_,19.32
_0094_,19.32
_0952_,19.2
_1254_,19.16
_1354_,19
_0615_,18.98
_0971_,18.81
_0974_,18.8
_1241_,18.78
_0153_,18.7
_0944_,18.66
_1041_,18.66
_0341_,18.6
_0200_,18.58
_0986_,18.58
_0345_,18.5
_0728_,18.49
_1097_,18.48
_0056_,18.44
_0589_,18.435
_0740_,18.38
net52,18.32
_0172_,18.3
_0600_,18.26
_0096_,18.22
_0573_,18.22
_1126_,18.22
_0864_,18.2
_0084_,18.12
_1185_,18.1
_0380_,18.08
_0156_,18.06
_0960_,18.02
_0541_,17.94
_0446_,17.92
product[21],17.88
_0976_,17.86
_0113_,17.74
_1157_,17.74
_0693_,17.68
_0138_,17.64
_0561_,17.64
_1202_,17.64
_0163_,17.52
_1319_,17.52
_0815_,17.5
_0311_,17.48
_1110_,17.3
_1013_,17.28
_0013_,17.24
_0212_,17.24
_0994_,17.24
_0160_,17.22
_0993_,17.22
_1043_,17.22
_0787_,17.2
_0834_,17.195
_1062_,17.195
_0604_,17.08
_0213_,17.04
_0539_,17.04
_0732_,17.04
_1070_,17.035
_0904_,17.02
_0154_,16.98
_1055_,16.98
_0378_,16.86
_0652_,16.86
_0947_,16.82
_0223_,16.76
_1029_,16.76
_1033_,16.7
_1008_,16.66
_0597_,16.64
_1297_,16.6
_0494_,16.57
_0417_,16.56
_0105_,16.51
_0803_,16.495
_0186_,16.48
_0295_,16.48
_0736_,16.48
_0893_,16.42
_1294_,16.42
net66,16.4
_1285_,16.38
_1295_,16.34
_0588_,16.32
_1080_,16.28
_0206_,16.24
_0205_,16.16
_0448_,16.16
_0809_,16.14
_0134_,16.12
_1004_,16.12
_1093_,16.11
_0183_,16.1
_0159_,16.08
_0277_,16.02
_0743_,16.02
_0115_,16
_0795_,16
_1145_,15.975
_0972_,15.96
_0244_,15.94
_0562_,15.9
_0085_,15.83
_1292_,15.82
_0242_,15.78
_0294_,15.78
_0598_,15.78
_0337_,15.72
_1261_,15.72
_0245_,15.7
_0432_,15.68
_0560_,15.68
_0662_,15.68
_0592_,15.66
_0218_,15.62
_0008_,15.615
_0674_,15.58
_0941_,15.52
_0653_,15.48
_0062_,15.42
_0257_,15.42
_0382_,15.42
_1344_,15.4
_0876_,15.38
_0057_,15.36
_0197_,15.36
_0342_,15.36
_0211_,15.32
_0229_,15.32
_0688_,15.26
_0690_,15.26
_0754_,15.26
_1220_,15.24
_0990_,15.18
_0191_,15.14
_1071_,15.1
_0599_,15.04
_0798_,15
_0305_,14.92
_1125_,14.92
_0594_,14.86
product[1],14.82
mcand[15],14.81
_0202_,14.78
_1230_,14.78
_1228_,14.76
_0155_,14.72
_1063_,14.68
_0468_,14.64
_0480_,14.56
_0252_,14.53
_0516_,14.44
_0091_,14.42
_0470_,14.42
_0125_,14.395
_0730_,14.38
_1207_,14.38
_0176_,14.32
_1298_,14.28
_1136_,14.26
_0847_,14.255
_0350_,14.24
_0106_,14.23
_0977_,14.22
_0852_,14.2
_1050_,14.19
_0170_,14.14
_0394_,14.14
_1267_,14.14
_0927_,14.12
_1358_,14.08
_0173_,14.06
_0507_,14.02
_1193_,14
_1278_,13.94
_0387_,13.9
_0666_,13.9
_0953_,13.9
_0877_,13.88
_0196_,13.86
_0575_,13.86
_0948_,13.84
_0871_,13.82
_0288_,13.8
_0670_,13.78
_0906_,13.76
_0241_,13.74
_0471_,13.74
_0331_,13.68
_1216_,13.68
_1337_,13.68
_1237_,13.675
_1047_,13.66
_0641_,13.64
_0256_,13.6
_0535_,13.6
_0282_,13.58
_0107_,13.56
_1248_,13.56
_0605_,13.54
_1025_,13.54
_1020_,13.5
_0521_,13.48
_0673_,13.48
_0790_,13.48
_0936_,13.48
_1144_,13.46
_0046_,13.44
_0366_,13.44
_0766_,13.42
_0067_,13.4
_1094_,13.4
_0739_,13.38
net33,13.38
_0012_,13.34
_0145_,13.34
_0825_,13.32
_0979_,13.32
_1213_,13.26
_0783_,13.2
_0932_,13.18
_0425_,13.14
_0961_,13.14
_1081_,13.14
_0026_,13.1
_1351_,13.09
_0756_,13.08
_0195_,13
_0316_,13
_0768_,12.98
_0680_,12.96
mcand[11],12.95
_0912_,12.94
_1212_,12.94
_1326_,12.94
_1075_,12.92
_1296_,12.9
_0285_,12.88
_0296_,12.88
_0526_,12.88
_1077_,12.88
_0392_,12.84
_1277_,12.84
_1335_,12.84
_0869_,12.815
_0843_,12.8
_1164_,12.8
_0908_,12.78
_1091_,12.78
_0365_,12.76
_0161_,12.74
_0427_,12.7
_0621_,12.7
_1069_,12.68
_0358_,12.66
_1309_,12.64
_0433_,12.62
_0919_,12.62
_0531_,12.6
_0230_,12.58
_0120_,12.56
_0857_,12.56
_0395_,12.54
_1065_,12.54
_1132_,12.54
_1175_,12.54
_0660_,12.52
_0214_,12.5
_0786_,12.5
_1034_,12.5
_0426_,12.48
_1329_,12.48
