net,length_um
_087_,283.11
_166_,249.37
_177_,248.27
_095_,223.555
_098_,218.76
_088_,199.565
_102_,193.72
_094_,189.01
_080_,187
net38,181.74
_089_,180.055
_175_,176.94
net100,169.62
net62,157.78
clknet_0_clk,157.1
net96,154.81
_101_,151.07
_373_,149.33
_390_,146.38
_100_,145.88
_000_,145.705
net6,144.72
_379_,144.2
_378_,142.68
_393_,141.65
net105,139.96
_392_,138.92
net63,138.08
net67,133.33
_388_,132.33
net110,131.28
_086_,130.53
net116,129.65
net81,126.005
net125,125.92
net128,120.24
net2,114.84
clknet_3_5__leaf_clk,114.44
net29,114.08
net94,112.3
net74,112.015
net14,111.22
net16,110.44
net114,108.14
net51,106.3
clknet_3_0__leaf_clk,106.3
net50,106.08
net86,105.495
net127,105.365
net99,105.13
net66,104.16
clknet_3_2__leaf_clk,103.45
net76,103.395
net48,103.28
_406_,103.12
_402_,102.495
clknet_3_7__leaf_clk,102.14
net124,102.08
net126,101.88
net54,101.56
net49,101.32
net70,100.315
net32,96.84
net118,96.22
_404_,95.62
net104,95.49
net26,94.28
net56,93.55
net115,93.48
net44,92.5
net46,92.15
net91,92.145
net93,92.065
net117,91.5
net71,91.235
clknet_3_3__leaf_clk,89.74
net20,89.32
net95,89.14
net53,88.48
_407_,87.53
clknet_3_6__leaf_clk,87.2
net42,86.42
net23,85.66
net27,83.18
net85,83.045
net1,82.23
net34,80.76
net72,80.68
net22,80.51
net97,80.14
net35,79.62
net92,79.565
net60,78.85
net120,78.52
net65,77.8
net41,77.52
net18,77.14
net80,76.195
_384_,75.82
net123,74.84
net8,74.32
clknet_3_1__leaf_clk,73.26
_160_,72.9
net19,72.68
net88,71.935
net119,71.665
net122,71.125
net82,71.105
net130,70.88
net37,70.78
net108,69.67
clk,69.64
net106,69.62
net64,68.06
net102,67.22
net90,64.18
net4,63.86
net5,63.44
_154_,63.36
net59,62.58
net28,61.14
net21,59.68
net17,59.08
net83,58.37
net87,57.595
net121,56.995
net109,56.74
net103,55.44
net98,54.5
_372_,53.325
net13,51.52
net25,51.2
net24,50.02
net78,48.84
net112,48.24
clknet_3_4__leaf_clk,46.68
_099_,46.02
net101,45.66
net36,44.7
net11,43.16
net30,43.15
_422_,42.945
net33,41.02
cnt_act\[1\],40.46
_093_,38.94
_074_,38.78
_078_,36.9
cnt_act\[2\],36.675
_234_,36.54
net45,36.52
net84,36.245
_077_,35.61
net142,35.5
net3,35.12
mcand[26],34.19
net61,33.96
_178_,33.86
net79,33.42
_195_,33.35
_129_,33.26
_304_,33
net7,32.745
net113,31.88
_272_,31.24
net15,31
net73,30.88
_075_,30.4
_377_,29.96
net148,29.885
net57,28.94
net10,28.84
net55,28.82
mplier[30],28.55
_395_,28.3
product[63],27.77
net9,26.7
mcand[19],26.52
_187_,25.92
_239_,25.64
mplier[23],25.52
mplier[26],25.06
net107,24.98
net111,24.68
estado_act\[0\],24.48
mcand[25],24.28
product[43],24.24
product[21],22.89
cnt_act\[3\],22.86
mcand[11],22.67
net75,22.54
_285_,22.14
_210_,21.64
_180_,21.5
_340_,21.14
_185_,20.96
mplier[17],20.92
estado_act\[1\],20.86
_127_,20.84
net43,20.8
mcand[9],20.55
product[45],20.47
_359_,20.34
mplier[20],20.06
mcand[8],20
_212_,19.34
_144_,19.26
net139,18.705
mcand[0],18.68
_126_,18.56
_113_,18.54
net68,18.5
net77,18.355
_348_,18.06
net40,17.98
_091_,17.82
product[16],17.65
_111_,17.62
_208_,17.5
net129,17.44
product[26],17.32
_363_,17.28
net31,17.18
_200_,17.12
_207_,17.12
_163_,17.04
mplier[10],16.94
_305_,16.88
cnt_act\[4\],16.78
product[60],16.74
_313_,16.7
_155_,16.5
_253_,16.5
_083_,16.38
_118_,16.38
net58,16.08
product[7],16.06
_341_,16
_174_,15.56
_427_,15.48
mplier[22],15.46
product[39],15.46
_079_,15.38
_266_,15.3
_237_,15.24
_084_,15.2
product[56],15.15
_269_,15.08
_357_,14.98
_159_,14.94
_288_,14.86
product[36],14.83
product[47],14.66
_295_,14.54
_322_,14.34
product[25],14.19
product[22],13.97
_267_,13.88
_172_,13.64
mplier[27],13.62
_179_,13.5
_114_,13.41
_042_,13.365
mplier[9],13.26
net179,13.22
_135_,12.96
mplier[14],12.95
_196_,12.94
_315_,12.9
_223_,12.8
mcand[16],12.77
product[46],12.72
_353_,12.7
_338_,12.69
mplier[0],12.69
product[12],12.63
_329_,12.58
_228_,12.52
_124_,12.38
product[53],12.38
_157_,12.375
mplier[21],12.26
mplier[29],12.26
mplier[8],12.26
net147,12.18
_119_,12
net134,11.98
product[27],11.92
product[50],11.92
product[62],11.92
_236_,11.86
mplier[2],11.78
_416_,11.7
_250_,11.68
_115_,11.66
net136,11.585
_103_,11.56
product[18],11.53
_332_,11.5
_418_,11.5
product[30],11.47
_081_,11.46
_413_,11.46
_277_,11.44
net89,11.38
mcand[17],11.34
mcand[18],11.34
mcand[24],11.34
mcand[27],11.34
mcand[29],11.34
mplier[11],11.34
mplier[13],11.34
mplier[5],11.34
_403_,11.24
product[42],11.19
_162_,11.17
_337_,11.16
_409_,11.16
cnt_act\[0\],11.14
_398_,11.12
product[55],11.03
net12,10.96
mcand[15],10.88
_116_,10.82
_349_,10.82
_097_,10.78
_134_,10.78
_133_,10.74
_173_,10.74
mcand[7],10.69
product[52],10.68
_222_,10.66
mcand[23],10.56
mplier[31],10.56
_281_,10.54
_351_,10.54
mcand[5],10.42
mplier[1],10.42
mplier[28],10.42
mplier[4],10.42
product[0],10.42
product[6],10.42
_258_,10.4
_321_,10.4
_243_,10.355
_273_,10.34
product[28],10.34
product[15],10.3
_151_,10.28
_355_,10.265
net131,10.26
_232_,10.12
mcand[10],10.1
_278_,9.98
_264_,9.94
product[51],9.86
mplier[16],9.83
_055_,9.82
_138_,9.82
_383_,9.78
_411_,9.78
_121_,9.76
mplier[15],9.75
_317_,9.74
net135,9.705
_328_,9.62
net69,9.58
_216_,9.48
_369_,9.4
_306_,9.32
product[10],9.31
_327_,9.28
_053_,9.2
_311_,9.2
mcand[30],9.18
_046_,9.145
_261_,9.14
_215_,9.12
_312_,9.12
_271_,9
product[58],8.96
product[59],8.96
_169_,8.94
_199_,8.9
_260_,8.9
net132,8.9
_308_,8.86
product[2],8.84
mcand[20],8.81
_030_,8.805
_142_,8.78
_280_,8.78
mcand[22],8.73
mcand[21],8.72
_171_,8.58
_389_,8.52
product[1],8.5
product[33],8.5
net47,8.48
product[4],8.38
_191_,8.36
_123_,8.26
mcand[2],8.26
_366_,8.24
net178,8.24
_073_,8.18
_002_,8.105
_252_,8.1
_368_,8.1
_382_,8.06
product[44],8.04
_047_,8.035
_043_,8.025
_307_,7.98
product[8],7.95
_149_,7.9
_262_,7.9
net150,7.9
_017_,7.88
_201_,7.78
_294_,7.74
_246_,7.69
_181_,7.68
_399_,7.68
_347_,7.66
_391_,7.6
_394_,7.6
done,7.58
product[20],7.58
product[23],7.58
product[29],7.58
product[57],7.58
_257_,7.56
net177,7.56
_426_,7.52
_128_,7.42
_209_,7.42
_428_,7.4
product[3],7.37
